name,type,city,district,phone,email,website,address
Adana Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Adana,,(0322) 459 66 03 - (0322) 459 65 70,adana@gsb.gov.tr,https://adana.gsb.gov.tr,"Döşeme Mahallesi, Kurtuluş Caddesi No: 20 Seyhan/ADANA"
Adıyaman Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Adıyaman,,0 (416) 216 48 33 - 0 (416) 216 21 67 - 0 (416) 216 21 68,adiyaman@gsb.gov.tr,https://adiyaman.gsb.gov.tr,Yeni Mahalle 3 Çevre Yolu Üzeri 379/A Merkez/ADIYAMAN
Afyonkarahisar Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Afyonkarahisar,,+90 272 213 90 00 - 01 - 02 - 03,afyon@gsb.gov.tr,https://afyon.gsb.gov.tr,Kocatepe Spor Kompleksi Dörtyol Mah. Aşık Veysel Caddesi No:2 AFYONKARAHİSAR
Ağrı Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Ağrı,,0472 215 13 41,agri@gsb.gov.tr,https://agri.gsb.gov.tr,Fırat Mahallesi Yaşar Kemal Caddesi 1003 Sokak No:217 / AĞRI (DSİ Karşısı)
Aksaray Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Aksaray,,0 (382) 217 63 01 - 02,aksaray@gsb.gov.tr,https://aksaray.gsb.gov.tr,Hacılar Harmanı Mahallesi 5732 Sk. No. 3 AKSARAY-MERKEZ
Amasya Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Amasya,,0 (358) 218 43 10 - 0 (358) 218 49 93 - 0 (358) 252 62 14,amasya@gsb.gov.tr,https://amasya.gsb.gov.tr,Şeyhcui Mahallesi Fırat Yılmaz Çakıroğlu Cad. No:74/1 AMASYA
Ankara Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Ankara,,+90 (312) 551 70 00 - 01,ankara@gsb.gov.tr,https://ankara.gsb.gov.tr,Hacı Bayram Mahallesi Cumhuriyet Caddesi No:26 Altındağ-ANKARA
Antalya Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Antalya,,+90 242 280 35 00,antalya@gsb.gov.tr,https://antalya.gsb.gov.tr,Pınarbaşı Mh. 12.Cd. (Üniversite Cd.) No:524 Konyaaltı/ANTALYA
Ardahan Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Ardahan,,0 (478) 211 36 48,ardahan@gsb.gov.tr,https://ardahan.gsb.gov.tr,"Kaptanpaşa Mahallesi, İnönü Caddesi Öğretmen Evi Karşısı No:1/A Merkez/Ardahan"
Artvin Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Artvin,,0466 212 11 44,artvin@gsb.gov.tr,https://artvin.gsb.gov.tr,"Çarşı Mahallesi, Şehit Dursun Acar Caddesi No:3, 08000 Merkez/Artvin"
Aydın Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Aydın,,0256 213 11 66,aydin@gsb.gov.tr,https://aydin.gsb.gov.tr,Zafer Mahallesi 123 Sokak No:3/1 Efeler/Aydın
Balıkesir Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Balıkesir,,0266 241 19 42,balikesir@gsb.gov.tr,https://balikesir.gsb.gov.tr,"Paşa Alanı Mahallesi, Tarihçi Cemal Kutay Caddesi, Karesi/Balıkesir"
Bartın Gençlik ve Spor İl Müdürlüğü,GençlikSporMüdürlüğü,Bartın,,0378 227 10 53,bartin@gsb.gov.tr,https://bartin.gsb.gov.tr,"Gölbucağı Mahallesi, 558. Sokak No:1, 74200 Merkez/Bartın"
